"NOM","PRENOM","LOGIN","MAIL","NOTE1","NOTE2","NOTE3"
"Nom1","Prénom1","nomprenom1","s.celles@gmail.com",10,11,12
"Nom2","Prénom2","nomprenom2",,10,11,12
"Nom3","Prénom3","nomprenom3",,10,11,12
"Nom4","Prénom4","nomprenom4",,10,11,12
"Nom5","Prénom5","nomprenom5",,10,11,12
"Nom6","Prénom6","nomprenom6",,10,11,12
"Nom7","Prénom7","nomprenom7","s.cls@laposte.net",10,11,12
"Nom8","Prénom8","nomprenom8",,10,11,12
"Nom9","Prénom9","nomprenom9",,10,11,12
"Nom10","Prénom10","nomprenom10",,10,11,12
"Nom11","Prénom11","nomprenom11",,10,11,12
"Nom12","Prénom12","nomprenom12",,10,11,12
"Nom13","Prénom13","nomprenom13",,10,11,12
"Nom14","Prénom14","nomprenom14",,10,11,12
"Nom15","Prénom15","nomprenom15",,10,11,12
"Nom16","Prénom16","nomprenom16",,10,11,12
"Nom17","Prénom17","nomprenom17",,10,11,12
"Nom18","Prénom18","nomprenom18",,10,11,12
"Nom19","Prénom19","nomprenom19",,10,11,12
"Nom20","Prénom20","nomprenom20",,10,11,12
"Nom21","Prénom21","nomprenom21",,10,11,12
"Nom22","Prénom22","nomprenom22",,10,11,12
"Nom23","Prénom23","nomprenom23",,10,11,12
"Nom24","Prénom24","nomprenom24",,10,11,12
"Nom25","Prénom25","nomprenom25",,10,11,12
"Nom26","Prénom26","nomprenom26",,10,11,12
"Nom27","Prénom27","nomprenom27",,10,11,12
"Nom28","Prénom28","nomprenom28",,10,11,12
"Nom29","Prénom29","nomprenom29",,10,11,12
"Nom30","Prénom30","nomprenom30",,10,11,12
"Nom31","Prénom31","nomprenom31",,10,11,12
"Nom32","Prénom32","nomprenom32",,10,11,12
"Nom33","Prénom33","nomprenom33",,10,11,12
"Nom34","Prénom34","nomprenom34",,10,11,12
"Nom35","Prénom35","nomprenom35",,10,11,12
"Nom36","Prénom36","nomprenom36",,10,11,12
"Nom37","Prénom37","nomprenom37",,10,11,12
"Nom38","Prénom38","nomprenom38",,10,11,12
"Nom39","Prénom39","nomprenom39",,10,11,12
"Nom40","Prénom40","nomprenom40",,10,11,12
"Nom41","Prénom41","nomprenom41",,10,11,12
"Nom42","Prénom42","nomprenom42",,10,11,12
"Nom43","Prénom43","nomprenom43",,10,11,12
"Nom44","Prénom44","nomprenom44",,10,11,12
"Nom45","Prénom45","nomprenom45",,10,11,12
"Nom46","Prénom46","nomprenom46",,10,11,12
"Nom47","Prénom47","nomprenom47",,10,11,12
"Nom48","Prénom48","nomprenom48",,10,11,12
"Nom49","Prénom49","nomprenom49",,10,11,12
"Nom50","Prénom50","nomprenom50",,10,11,12
"Nom51","Prénom51","nomprenom51",,10,11,12
"Nom52","Prénom52","nomprenom52",,10,11,12
"Nom53","Prénom53","nomprenom53",,10,11,12
"Nom54","Prénom54","nomprenom54",,10,11,12
"Nom55","Prénom55","nomprenom55",,10,11,12
"Nom56","Prénom56","nomprenom56",,10,11,12
"Nom57","Prénom57","nomprenom57",,10,11,12
"Nom58","Prénom58","nomprenom58",,10,11,12
"Nom59","Prénom59","nomprenom59",,10,11,12
"Nom60","Prénom60","nomprenom60",,10,11,12
"Nom61","Prénom61","nomprenom61",,10,11,12
"Nom62","Prénom62","nomprenom62",,10,11,12
"Nom63","Prénom63","nomprenom63",,10,11,12
"Nom64","Prénom64","nomprenom64",,10,11,12
"Nom65","Prénom65","nomprenom65",,10,11,12
"Nom66","Prénom66","nomprenom66",,10,11,12
"Nom67","Prénom67","nomprenom67",,10,11,12
"Nom68","Prénom68","nomprenom68",,10,11,12
"Nom69","Prénom69","nomprenom69",,10,11,12
"Nom70","Prénom70","nomprenom70",,10,11,12
"Nom71","Prénom71","nomprenom71",,10,11,12
"Nom72","Prénom72","nomprenom72",,10,11,12
"Nom73","Prénom73","nomprenom73",,10,11,12
"Nom74","Prénom74","nomprenom74",,10,11,12
"Nom75","Prénom75","nomprenom75",,10,11,12
"Nom76","Prénom76","nomprenom76",,10,11,12
"Nom77","Prénom77","nomprenom77",,10,11,12
"Nom78","Prénom78","nomprenom78",,10,11,12
"Nom79","Prénom79","nomprenom79",,10,11,12
"Nom80","Prénom80","nomprenom80",,10,11,12
"Nom81","Prénom81","nomprenom81",,10,11,12
"Nom82","Prénom82","nomprenom82",,10,11,12
"Nom83","Prénom83","nomprenom83",,10,11,12
"Nom84","Prénom84","nomprenom84",,10,11,12
"Nom85","Prénom85","nomprenom85",,10,11,12
